Time,rotX,rotY,rotZosboxe
1583285990275,8.875447E-4,-0.0020601489,-6.942032E-4
1583285990324,3.6854774E-4,-8.505462E-4,-6.942032E-4
1583285990375,2.3298373E-4,2.0990055E-4,-5.634101E-4
1583285990425,-6.8086723E-4,-0.0016454877,-8.360958E-4
1583285990475,7.495567E-4,-5.848934E-4,-8.150018E-4
1583285990525,1.0522257E-4,2.1485798E-4,-4.7533773E-5
1583285990575,5.110112E-4,-0.0016520489,-6.942032E-4
1583285990625,3.9978314E-4,-3.3336598E-4,-0.001203388
1583285990675,0.0013913083,-5.7112426E-4,-4.0628482E-4
1583285990725,3.178193E-4,-1.898813E-4,3.277324E-4
1583285990775,2.3298373E-4,-0.0011814707,-0.0014627941
1583285990825,7.654837E-4,-8.268319E-4,-1.9914564E-4
1583285990875,5.987998E-4,-0.0011914233,-3.918456E-4
1583285990925,0.0011505758,-0.0013466501,-5.6630466E-4
1583285990975,9.869776E-4,-0.0012548813,3.7079677E-4
1583285991025,2.3298373E-4,-3.8315635E-4,3.7079677E-4
1583285991075,6.378045E-4,-0.0016160794,-3.3300463E-4
1583285991125,-2.9951625E-4,1.995624E-4,-1.6170321E-4
1583285991175,2.7353514E-4,-1.898813E-4,-2.6362017E-5
1583285991225,7.654837E-4,-0.0011723205,-7.9142395E-5
1583285991275,5.7982036E-4,-5.3671794E-4,5.058199E-5
1583285991324,-2.1804939E-4,-2.7134828E-4,-6.942032E-4
1583285991375,2.3298373E-4,-0.001579213,-0.0010185349
1583285991425,6.958615E-4,1.4343765E-4,-0.001166766
1583285991475,5.677958E-4,2.0756386E-4,3.7079677E-4
1583285991525,2.2583909E-4,-7.295259E-4,3.7079677E-4
1583285991575,-1.0092382E-4,2.0730402E-4,-2.9849587E-4
1583285991625,-7.637838E-4,-6.5414887E-4,-0.0011455731
1583285991675,-8.712895E-5,-1.6305875E-4,7.177321E-4
1583285991725,2.3298373E-4,8.298829E-4,-6.8556424E-4
1583285991775,-1.6370357E-4,-5.865684E-4,-6.4909644E-4
1583285991825,6.2359066E-4,-0.0011129882,3.7079677E-4
1583285991875,-4.709881E-4,-5.883388E-4,9.7686425E-6
1583285991925,-6.085137E-4,6.8225525E-4,4.3659005E-4
1583285991975,1.5918526E-4,-0.0020961696,2.9699877E-4
1583285992025,-8.3201623E-4,3.880877E-4,-0.0010071998
1583285992075,-6.213051E-5,0.002601264,-3.9908895E-4
1583285992125,-0.0012654571,-0.0014414373,-6.3407235E-5
1583285992187,-0.0026022268,-7.2956504E-4,-0.0012338872
1583285992288,-0.0062700273,0.0038658008,-0.0020765327
1583285992338,-0.0016685078,0.0027766104,3.7079677E-4
1583285992387,2.3298373E-4,4.9009826E-4,-1.422409E-5
1583285992437,2.3298373E-4,-0.0014999998,-6.942032E-4
1583285992488,2.3298373E-4,-4.696832E-4,-6.942032E-4
1583285992537,2.3298373E-4,-3.177696E-4,-6.942032E-4
1583285992587,2.3298373E-4,-0.0012548813,-6.942032E-4
1583285992637,2.3298373E-4,-5.854806E-4,-6.942032E-4
1583285992687,2.3298373E-4,-1.898813E-4,-6.942032E-4
1583285992737,2.3298373E-4,-4.786183E-4,-6.942032E-4
1583285992787,6.46687E-4,-0.0014924747,-2.8049992E-4
1583285992838,6.1424205E-4,-1.898813E-4,-3.1294487E-4
1583285992888,2.3298373E-4,-0.0011436627,-0.0016479844
1583285992938,2.3298373E-4,-0.001096183,3.7079677E-4
1583285992987,6.6102797E-4,-6.1792554E-4,-5.7247467E-5
1583285993037,5.9990084E-4,-0.0012548813,-6.942032E-4
1583285993088,0.0011887109,-0.0012548813,-6.942032E-4
1583285993138,0.0022036345,-0.0014142306,3.7079677E-4
1583285993187,1.0805903E-5,-0.0014617625,3.7079677E-4
1583285993238,-0.001198404,-8.884934E-4,-3.278153E-4
1583285993287,0.0020739394,-0.0022235326,-6.942032E-4
1583285993337,0.005036914,5.2773906E-4,1.9710697E-4
1583285993387,0.0023629838,-0.0012548813,-6.942032E-4
1583285993438,0.0023629838,1.7102575E-4,7.317038E-4
1583285993487,0.0023629838,-0.002073858,-5.30188E-4
1583285993537,0.0012979839,-0.0019441042,-5.063149E-4
1583285993587,0.0017552398,-0.0015616491,-8.645933E-5
1583285993637,0.0038164617,-0.0026581418,-0.0014209417
1583285993687,5.0995394E-4,-0.0013241237,-7.634456E-4
1583285993738,-4.2727112E-4,6.5628905E-5,-3.3948105E-5
1583285993787,8.255717E-4,-0.0024400568,-0.0012867909
1583285993837,-5.088992E-4,9.707678E-4,-6.942032E-4
1583285993887,-8.3201623E-4,-0.0031182552,-0.001705878
1583285993938,0.0010819192,-6.066873E-4,3.7079677E-4
1583285993987,7.1973645E-4,4.7986116E-4,-1.15955714E-4
1583285994037,5.4177025E-4,-4.986678E-4,6.201025E-5
1583285994087,-7.9303305E-4,-1.898813E-4,-6.552199E-4
1583285994138,0.0023629838,4.92631E-4,1.7955247E-4
1583285994187,5.1911257E-4,-0.0017158492,-6.942032E-4
1583285994238,-0.0018970162,-8.580624E-4,-6.942032E-4
1583285994288,0.0011050625,8.108122E-4,-6.942032E-4
1583285994337,0.0019518336,-3.9545633E-4,1.6522175E-4
1583285994387,7.079403E-4,-7.799249E-4,-6.942032E-4
1583285994438,0.0012979839,-9.348765E-4,5.0792005E-5
1583285994488,-7.320858E-4,-0.0012548813,3.7079677E-4
1583285994538,0.0010780793,4.3530948E-4,3.7079677E-4
1583285994587,-2.5668845E-4,-0.0017445534,-1.1887541E-4
1583285994637,-0.0015921672,-0.0015597302,-0.001454354
1583285994688,0.0011911915,-0.0012548813,-7.2980067E-4
1583285994738,0.0018941545,-1.898813E-4,1.3638241E-4
1583285994788,2.3298373E-4,-1.898813E-4,-6.942032E-4
1583285994838,2.3298373E-4,5.8401935E-4,7.9697E-5
1583285994888,2.3298373E-4,-0.002256033,3.7079677E-4
1583285994937,5.517177E-4,5.8874022E-5,1.2204144E-4
1583285994988,-0.0018970162,-6.812657E-4,-0.0012129981
1583285995038,-0.0011081827,-0.0023198808,-9.7036967E-4
1583285995087,0.0023421734,0.0019123713,3.638598E-4
1583285995137,2.3298373E-4,-0.0012548813,-0.0015104471
1583285995188,7.0472003E-4,-3.1140866E-4,-2.2246689E-4
1583285995237,5.562081E-4,1.3334304E-4,3.7079677E-4
1583285995287,-7.7883166E-4,-0.0012016967,-6.410186E-4
1583285995338,-0.0010480548,0.0015080418,-6.128056E-5
1583285995387,-0.0014113097,-0.001161294,-0.0012734965
1583285995438,0.0014356243,-5.224021E-5,8.1755733E-4
1583285995488,0.001336828,-0.0011771931,-0.0016426707
1583285995537,6.933926E-4,-7.944722E-4,-3.5897829E-6
1583285995587,0.0018629966,3.751316E-4,0.0015008226
1583285995637,-0.0010133908,-9.603398E-4,-0.0011701195
1583285995687,-8.565184E-4,-0.0012548813,-0.0017592029
1583285995737,-9.7853015E-5,-0.00101016,-6.942032E-4
1583285995788,0.0013334624,-1.898813E-4,-1.7944258E-4
1583285995838,2.3298373E-4,-1.898813E-4,-4.140027E-4
1583285995888,2.3298373E-4,8.6495746E-4,-6.942032E-4
1583285995937,2.3298373E-4,-7.367558E-4,3.7079677E-4
1583285995988,-2.961174E-4,3.4601754E-4,-1.5830435E-4
1583285996037,-3.287557E-5,-9.890222E-4,-0.0014933436
1583285996088,0.0012979839,-1.8570106E-4,-6.9002295E-4
1583285996138,0.0010239751,3.2710144E-4,9.67877E-5
1583285996188,7.8308664E-4,-0.0012548813,-6.942032E-4
1583285996237,4.716093E-4,3.97868E-4,9.5854606E-4
1583285996288,2.0156999E-4,8.1229163E-4,3.0796928E-4
1583285996337,-8.3201623E-4,-0.0015561036,-0.0014579806
1583285996387,3.093368E-4,-6.0785096E-4,-1.235269E-4
1583285996437,4.5726763E-4,3.440259E-5,-0.0013106354
1583285996488,2.7873938E-4,-0.0012091259,-6.484478E-4
1583285996538,6.66879E-4,1.2567127E-4,6.8634935E-4
1583285996588,-8.3201623E-4,2.9010046E-4,8.5077854E-4
1583285996638,-8.3201623E-4,-0.0010449383,-0.0013393168
1583285996687,-7.118237E-4,-0.0021395916,-6.341068E-4
1583285996737,0.0012979839,-1.15287025E-4,4.0661544E-5
1583285996788,6.9826876E-4,-0.0017201658,-6.942032E-4
1583285996837,0.0019717808,0.002222713,1.7519528E-4
1583285996887,-0.0018225781,-0.002245443,2.9635848E-4
1583285996938,-4.875398E-4,-9.1040507E-4,-0.0010386794
1583285996987,2.3298373E-4,-8.039274E-4,-0.0017592029
1583285997037,2.3298373E-4,-3.7114182E-4,8.275732E-6
1583285997088,0.0012092051,-3.674389E-4,0.0012582396
1583285997137,5.918016E-4,-0.0016022455,-6.942032E-4
1583285997188,4.1232444E-5,4.384946E-4,-6.582774E-5
1583285997237,0.001089184,-0.0010460811,3.7079677E-4
1583285997287,4.0541787E-4,7.026852E-4,1.9836286E-4
1583285997338,4.1303888E-4,-0.0010748259,-6.942032E-4
1583285997388,-1.2004899E-4,-1.8397905E-4,1.7764047E-5
1583285997437,2.3298373E-4,-1.0661688E-4,3.7079677E-4
1583285997488,2.3298373E-4,-0.0010689213,-5.082432E-4
1583285997538,2.3298373E-4,2.6576966E-4,3.7079677E-4
1583285997588,2.3298373E-4,-5.775504E-4,-3.5553798E-4
1583285997637,2.3298373E-4,-0.0012548813,-6.942032E-4
1583285997687,0.0010968674,4.7288602E-4,1.6968045E-4
1583285997738,2.3298373E-4,-0.001726036,-6.942032E-4
1583285997787,-5.0821074E-4,-8.374918E-4,4.6991277E-5
1583285997837,1.7844315E-4,-1.898813E-4,-6.396626E-4
1583285997888,0.0010825266,-4.053386E-4,-4.787459E-4
1583285997938,0.0012039762,-0.0012548813,3.7079677E-4
1583285997987,8.519137E-4,-4.993463E-4,3.7079677E-4
1583285998037,2.3298373E-4,-0.0012146719,3.7079677E-4
1583285998087,2.3298373E-4,-1.898813E-4,-6.942032E-4
1583285998138,2.3298373E-4,-6.897189E-4,-6.942032E-4
1583285998187,0.0010028608,-0.0012548813,7.5673684E-5
1583285998237,2.5806844E-4,-2.1496601E-4,-6.691185E-4
1583285998288,2.3298373E-4,-0.0012548813,-0.0016142079
1583285998338,2.3298373E-4,-0.0012548813,-2.7916906E-4
1583285998387,2.3298373E-4,-5.698083E-4,3.7079677E-4
1583285998438,2.3298373E-4,-1.898813E-4,-5.8358535E-4
1583285998487,0.0011379559,-1.898813E-4,3.7079677E-4
Time,rotX,rotY,rotZosboxe
1583285988475,8.9263136E-4,-0.0021906747,-6.942032E-4
1583285988525,0.0017062341,-4.5615062E-4,-6.7643356E-4
1583285988575,-5.590054E-4,-0.00165057,-1.613982E-4
1583285988625,0.0012979839,-2.0521972E-4,-4.3496955E-4
1583285988675,-5.4964924E-4,-0.0017797705,-0.0012190929
1583285988725,0.0010336222,-0.0016678898,-2.8119516E-4
1583285988775,7.878853E-4,-0.0012548813,-1.8410478E-4
1583285988825,8.7117485E-4,-0.0016487762,-6.942032E-4
1583285988875,0.0011356947,-8.632913E-4,-0.0010857934
1583285988925,0.0010609104,-0.0012548813,-6.942032E-4
1583285988975,7.2898844E-4,-0.001988477,-5.2850135E-4
1583285989025,2.3298373E-4,-1.898813E-4,-4.635672E-4
1583285989075,6.2850176E-4,-3.6578346E-4,5.466994E-4
1583285989125,-1.6081077E-4,-8.0493186E-4,1.4210399E-4
1583285989175,-4.3981185E-4,6.886446E-4,-0.0010864073
1583285989225,-3.8085098E-4,-0.0018969905,-0.0011453684
1583285989274,7.0504786E-4,-6.6194544E-4,-2.9176846E-4
1583285989325,2.3298373E-4,-1.898813E-4,-6.942032E-4
1583285989374,2.3298373E-4,-0.001054314,-0.0012874794
1583285989425,6.9822173E-4,-0.0010580341,-8.910503E-4
1583285989475,8.400135E-4,-7.969113E-4,-8.7173656E-5
1583285989525,9.055607E-4,-0.0021272795,-8.9402497E-4
1583285989575,8.4002956E-4,-0.0025636526,8.2875136E-4
1583285989625,0.0017765745,-0.0017334716,3.7079677E-4
1583285989675,0.0015176813,-0.0040104864,7.7155326E-4
1583285989725,0.0018684099,-0.0032063732,-5.1569566E-4
1583285989775,6.9049175E-4,-0.002976182,3.7079677E-4
1583285989825,0.0017779608,-8.516563E-4,-5.265521E-4
1583285989875,2.3298373E-4,-0.0022786157,-0.0015240787
1583285989925,0.0010157534,-1.898813E-4,2.0718249E-4
1583285989975,-4.0325813E-4,-8.6068595E-4,-0.0011437335
1583285990025,9.902198E-4,-8.51179E-4,-0.0010019671
1583285990075,6.2577275E-4,-5.826703E-4,-4.4868933E-4
1583285990125,-1.7167476E-4,3.219582E-4,-0.0010575398
1583285990175,-5.7940243E-4,-8.434006E-4,-4.0683895E-5
1583285990225,2.3298373E-4,-3.366107E-4,3.7079677E-4
1583285990275,8.875447E-4,-0.0020601489,-6.942032E-4
1583285990324,3.6854774E-4,-8.505462E-4,-6.942032E-4
1583285990375,2.3298373E-4,2.0990055E-4,-5.634101E-4
1583285990425,-6.8086723E-4,-0.0016454877,-8.360958E-4
1583285990475,7.495567E-4,-5.848934E-4,-8.150018E-4
1583285990525,1.0522257E-4,2.1485798E-4,-4.7533773E-5
1583285990575,5.110112E-4,-0.0016520489,-6.942032E-4
1583285990625,3.9978314E-4,-3.3336598E-4,-0.001203388
1583285990675,0.0013913083,-5.7112426E-4,-4.0628482E-4
1583285990725,3.178193E-4,-1.898813E-4,3.277324E-4
1583285990775,2.3298373E-4,-0.0011814707,-0.0014627941
1583285990825,7.654837E-4,-8.268319E-4,-1.9914564E-4
1583285990875,5.987998E-4,-0.0011914233,-3.918456E-4
1583285990925,0.0011505758,-0.0013466501,-5.6630466E-4
1583285990975,9.869776E-4,-0.0012548813,3.7079677E-4
1583285991025,2.3298373E-4,-3.8315635E-4,3.7079677E-4
1583285991075,6.378045E-4,-0.0016160794,-3.3300463E-4
1583285991125,-2.9951625E-4,1.995624E-4,-1.6170321E-4
1583285991175,2.7353514E-4,-1.898813E-4,-2.6362017E-5
1583285991225,7.654837E-4,-0.0011723205,-7.9142395E-5
1583285991275,5.7982036E-4,-5.3671794E-4,5.058199E-5
1583285991324,-2.1804939E-4,-2.7134828E-4,-6.942032E-4
1583285991375,2.3298373E-4,-0.001579213,-0.0010185349
1583285991425,6.958615E-4,1.4343765E-4,-0.001166766
1583285991475,5.677958E-4,2.0756386E-4,3.7079677E-4
1583285991525,2.2583909E-4,-7.295259E-4,3.7079677E-4
1583285991575,-1.0092382E-4,2.0730402E-4,-2.9849587E-4
1583285991625,-7.637838E-4,-6.5414887E-4,-0.0011455731
1583285991675,-8.712895E-5,-1.6305875E-4,7.177321E-4
1583285991725,2.3298373E-4,8.298829E-4,-6.8556424E-4
1583285991775,-1.6370357E-4,-5.865684E-4,-6.4909644E-4
1583285991825,6.2359066E-4,-0.0011129882,3.7079677E-4
1583285991875,-4.709881E-4,-5.883388E-4,9.7686425E-6
1583285991925,-6.085137E-4,6.8225525E-4,4.3659005E-4
1583285991975,1.5918526E-4,-0.0020961696,2.9699877E-4
1583285992025,-8.3201623E-4,3.880877E-4,-0.0010071998
1583285992075,-6.213051E-5,0.002601264,-3.9908895E-4
1583285992125,-0.0012654571,-0.0014414373,-6.3407235E-5
1583285992187,-0.0026022268,-7.2956504E-4,-0.0012338872
1583285992288,-0.0062700273,0.0038658008,-0.0020765327
1583285992338,-0.0016685078,0.0027766104,3.7079677E-4
1583285992387,2.3298373E-4,4.9009826E-4,-1.422409E-5
1583285992437,2.3298373E-4,-0.0014999998,-6.942032E-4
1583285992488,2.3298373E-4,-4.696832E-4,-6.942032E-4
1583285992537,2.3298373E-4,-3.177696E-4,-6.942032E-4
1583285992587,2.3298373E-4,-0.0012548813,-6.942032E-4
1583285992637,2.3298373E-4,-5.854806E-4,-6.942032E-4
1583285992687,2.3298373E-4,-1.898813E-4,-6.942032E-4
1583285992737,2.3298373E-4,-4.786183E-4,-6.942032E-4
1583285992787,6.46687E-4,-0.0014924747,-2.8049992E-4
1583285992838,6.1424205E-4,-1.898813E-4,-3.1294487E-4
1583285992888,2.3298373E-4,-0.0011436627,-0.0016479844
1583285992938,2.3298373E-4,-0.001096183,3.7079677E-4
1583285992987,6.6102797E-4,-6.1792554E-4,-5.7247467E-5
1583285993037,5.9990084E-4,-0.0012548813,-6.942032E-4
1583285993088,0.0011887109,-0.0012548813,-6.942032E-4
1583285993138,0.0022036345,-0.0014142306,3.7079677E-4
1583285993187,1.0805903E-5,-0.0014617625,3.7079677E-4
1583285993238,-0.001198404,-8.884934E-4,-3.278153E-4
1583285993287,0.0020739394,-0.0022235326,-6.942032E-4
1583285993337,0.005036914,5.2773906E-4,1.9710697E-4
1583285993387,0.0023629838,-0.0012548813,-6.942032E-4
1583285993438,0.0023629838,1.7102575E-4,7.317038E-4
1583285993487,0.0023629838,-0.002073858,-5.30188E-4
1583285993537,0.0012979839,-0.0019441042,-5.063149E-4
1583285993587,0.0017552398,-0.0015616491,-8.645933E-5
1583285993637,0.0038164617,-0.0026581418,-0.0014209417
1583285993687,5.0995394E-4,-0.0013241237,-7.634456E-4
1583285993738,-4.2727112E-4,6.5628905E-5,-3.3948105E-5
1583285993787,8.255717E-4,-0.0024400568,-0.0012867909
1583285993837,-5.088992E-4,9.707678E-4,-6.942032E-4
1583285993887,-8.3201623E-4,-0.0031182552,-0.001705878
1583285993938,0.0010819192,-6.066873E-4,3.7079677E-4
1583285993987,7.1973645E-4,4.7986116E-4,-1.15955714E-4
1583285994037,5.4177025E-4,-4.986678E-4,6.201025E-5
1583285994087,-7.9303305E-4,-1.898813E-4,-6.552199E-4
1583285994138,0.0023629838,4.92631E-4,1.7955247E-4
1583285994187,5.1911257E-4,-0.0017158492,-6.942032E-4
1583285994238,-0.0018970162,-8.580624E-4,-6.942032E-4
1583285994288,0.0011050625,8.108122E-4,-6.942032E-4
1583285994337,0.0019518336,-3.9545633E-4,1.6522175E-4
1583285994387,7.079403E-4,-7.799249E-4,-6.942032E-4
1583285994438,0.0012979839,-9.348765E-4,5.0792005E-5
1583285994488,-7.320858E-4,-0.0012548813,3.7079677E-4
1583285994538,0.0010780793,4.3530948E-4,3.7079677E-4
1583285994587,-2.5668845E-4,-0.0017445534,-1.1887541E-4
1583285994637,-0.0015921672,-0.0015597302,-0.001454354
1583285994688,0.0011911915,-0.0012548813,-7.2980067E-4
1583285994738,0.0018941545,-1.898813E-4,1.3638241E-4
1583285994788,2.3298373E-4,-1.898813E-4,-6.942032E-4
1583285994838,2.3298373E-4,5.8401935E-4,7.9697E-5
1583285994888,2.3298373E-4,-0.002256033,3.7079677E-4
1583285994937,5.517177E-4,5.8874022E-5,1.2204144E-4
1583285994988,-0.0018970162,-6.812657E-4,-0.0012129981
1583285995038,-0.0011081827,-0.0023198808,-9.7036967E-4
1583285995087,0.0023421734,0.0019123713,3.638598E-4
1583285995137,2.3298373E-4,-0.0012548813,-0.0015104471
1583285995188,7.0472003E-4,-3.1140866E-4,-2.2246689E-4
1583285995237,5.562081E-4,1.3334304E-4,3.7079677E-4
1583285995287,-7.7883166E-4,-0.0012016967,-6.410186E-4
1583285995338,-0.0010480548,0.0015080418,-6.128056E-5
1583285995387,-0.0014113097,-0.001161294,-0.0012734965
1583285995438,0.0014356243,-5.224021E-5,8.1755733E-4
1583285995488,0.001336828,-0.0011771931,-0.0016426707
1583285995537,6.933926E-4,-7.944722E-4,-3.5897829E-6
1583285995587,0.0018629966,3.751316E-4,0.0015008226
1583285995637,-0.0010133908,-9.603398E-4,-0.0011701195
1583285995687,-8.565184E-4,-0.0012548813,-0.0017592029
1583285995737,-9.7853015E-5,-0.00101016,-6.942032E-4
1583285995788,0.0013334624,-1.898813E-4,-1.7944258E-4
1583285995838,2.3298373E-4,-1.898813E-4,-4.140027E-4
1583285995888,2.3298373E-4,8.6495746E-4,-6.942032E-4
1583285995937,2.3298373E-4,-7.367558E-4,3.7079677E-4
1583285995988,-2.961174E-4,3.4601754E-4,-1.5830435E-4
1583285996037,-3.287557E-5,-9.890222E-4,-0.0014933436
1583285996088,0.0012979839,-1.8570106E-4,-6.9002295E-4
1583285996138,0.0010239751,3.2710144E-4,9.67877E-5
1583285996188,7.8308664E-4,-0.0012548813,-6.942032E-4
1583285996237,4.716093E-4,3.97868E-4,9.5854606E-4
1583285996288,2.0156999E-4,8.1229163E-4,3.0796928E-4
1583285996337,-8.3201623E-4,-0.0015561036,-0.0014579806
1583285996387,3.093368E-4,-6.0785096E-4,-1.235269E-4
1583285996437,4.5726763E-4,3.440259E-5,-0.0013106354
1583285996488,2.7873938E-4,-0.0012091259,-6.484478E-4
1583285996538,6.66879E-4,1.2567127E-4,6.8634935E-4
1583285996588,-8.3201623E-4,2.9010046E-4,8.5077854E-4
1583285996638,-8.3201623E-4,-0.0010449383,-0.0013393168
1583285996687,-7.118237E-4,-0.0021395916,-6.341068E-4
1583285996737,0.0012979839,-1.15287025E-4,4.0661544E-5
1583285996788,6.9826876E-4,-0.0017201658,-6.942032E-4
1583285996837,0.0019717808,0.002222713,1.7519528E-4
1583285996887,-0.0018225781,-0.002245443,2.9635848E-4
1583285996938,-4.875398E-4,-9.1040507E-4,-0.0010386794
1583285996987,2.3298373E-4,-8.039274E-4,-0.0017592029
1583285997037,2.3298373E-4,-3.7114182E-4,8.275732E-6
1583285997088,0.0012092051,-3.674389E-4,0.0012582396
1583285997137,5.918016E-4,-0.0016022455,-6.942032E-4
1583285997188,4.1232444E-5,4.384946E-4,-6.582774E-5
1583285997237,0.001089184,-0.0010460811,3.7079677E-4
1583285997287,4.0541787E-4,7.026852E-4,1.9836286E-4
1583285997338,4.1303888E-4,-0.0010748259,-6.942032E-4
1583285997388,-1.2004899E-4,-1.8397905E-4,1.7764047E-5
1583285997437,2.3298373E-4,-1.0661688E-4,3.7079677E-4
1583285997488,2.3298373E-4,-0.0010689213,-5.082432E-4
1583285997538,2.3298373E-4,2.6576966E-4,3.7079677E-4
1583285997588,2.3298373E-4,-5.775504E-4,-3.5553798E-4
1583285997637,2.3298373E-4,-0.0012548813,-6.942032E-4
1583285997687,0.0010968674,4.7288602E-4,1.6968045E-4
1583285997738,2.3298373E-4,-0.001726036,-6.942032E-4
1583285997787,-5.0821074E-4,-8.374918E-4,4.6991277E-5
1583285997837,1.7844315E-4,-1.898813E-4,-6.396626E-4
1583285997888,0.0010825266,-4.053386E-4,-4.787459E-4
1583285997938,0.0012039762,-0.0012548813,3.7079677E-4
1583285997987,8.519137E-4,-4.993463E-4,3.7079677E-4
1583285998037,2.3298373E-4,-0.0012146719,3.7079677E-4
1583285998087,2.3298373E-4,-1.898813E-4,-6.942032E-4
1583285998138,2.3298373E-4,-6.897189E-4,-6.942032E-4
1583285998187,0.0010028608,-0.0012548813,7.5673684E-5
1583285998237,2.5806844E-4,-2.1496601E-4,-6.691185E-4
1583285998288,2.3298373E-4,-0.0012548813,-0.0016142079
1583285998338,2.3298373E-4,-0.0012548813,-2.7916906E-4
1583285998387,2.3298373E-4,-5.698083E-4,3.7079677E-4
1583285998438,2.3298373E-4,-1.898813E-4,-5.8358535E-4
1583285998487,0.0011379559,-1.898813E-4,3.7079677E-4
